station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CQX,2017-11-03 00:05,-69.9933,41.6875,M,M,M,0.00,0.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQX 030005Z AUTO 00000KT 10SM CLR A3026 RMK MADISHF
ORE,2017-11-03 00:05,-72.2886,42.5701,M,M,M,0.00,0.00,M,30.19,M,10.00,M,SCT,BKN,M,M,2600.00,3900.00,M,M,M,KORE 030005Z AUTO 00000KT 10SM SCT026 BKN039 A3019 RMK MADISHF
BOS,2017-11-03 00:05,-71.0097,42.3606,M,M,M,200.00,8.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030005Z AUTO 20008KT 10SM CLR A3021 RMK MADISHF
ORH,2017-11-03 00:05,-71.8757,42.2673,M,M,M,190.00,10.00,M,30.22,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KORH 030005Z AUTO 19010G15KT 10SM CLR A3022 RMK MADISHF
OWD,2017-11-03 00:05,-71.1733,42.1912,M,M,M,170.00,5.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOWD 030005Z AUTO 17005KT 10SM CLR A3021 RMK MADISHF
TAN,2017-11-03 00:05,-71.0211,41.8756,M,M,M,150.00,3.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030005Z AUTO 15003KT 10SM CLR A3023 RMK MADISHF
EWB,2017-11-03 00:05,-70.9583,41.6764,M,M,M,180.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030005Z AUTO 18004KT 10SM CLR A3023 RMK MADISHF
PYM,2017-11-03 00:05,-70.7288,41.9090,M,M,M,180.00,4.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030005Z AUTO 18004KT 10SM CLR A3024 RMK VRB04KT  MADISHF
PVC,2017-11-03 00:05,-70.2200,42.0700,M,M,M,170.00,11.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030005Z AUTO 17011KT 10SM CLR A3024 RMK MADISHF
BED,2017-11-03 00:05,-71.2890,42.4699,M,M,M,180.00,8.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030005Z AUTO 18008KT 10SM CLR A3019 RMK MADISHF
HYA,2017-11-03 00:05,-70.2800,41.6700,M,M,M,220.00,3.00,M,30.25,M,6.00,M,CLR,M,M,M,M,M,M,M,BR,KHYA 030005Z AUTO 22003KT 6SM BR CLR A3025 RMK MADISHF
TAN,2017-11-03 00:10,-71.0211,41.8756,M,M,M,160.00,3.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030010Z AUTO 16003KT 10SM CLR A3023 RMK MADISHF
EWB,2017-11-03 00:10,-70.9583,41.6764,M,M,M,190.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030010Z AUTO 19004KT 10SM CLR A3023 RMK MADISHF
PYM,2017-11-03 00:10,-70.7288,41.9090,M,M,M,190.00,5.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030010Z AUTO 19005KT 10SM CLR A3024 RMK MADISHF
ORH,2017-11-03 00:10,-71.8757,42.2673,M,M,M,190.00,10.00,M,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030010Z AUTO 19010KT 10SM CLR A3022 RMK MADISHF
ORE,2017-11-03 00:10,-72.2886,42.5701,M,M,M,0.00,0.00,M,30.19,M,10.00,M,BKN,BKN,M,M,2600.00,3900.00,M,M,M,KORE 030010Z AUTO 00000KT 10SM BKN026 BKN039 A3019 RMK MADISHF
PVC,2017-11-03 00:10,-70.2200,42.0700,M,M,M,180.00,11.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030010Z AUTO 18011KT 10SM CLR A3024 RMK MADISHF
OWD,2017-11-03 00:10,-71.1733,42.1912,M,M,M,160.00,6.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOWD 030010Z AUTO 16006KT 10SM CLR A3021 RMK MADISHF
HYA,2017-11-03 00:10,-70.2800,41.6700,M,M,M,200.00,4.00,M,30.25,M,5.00,M,CLR,M,M,M,M,M,M,M,BR,KHYA 030010Z AUTO 20004KT 5SM BR CLR A3025 RMK MADISHF
CQX,2017-11-03 00:10,-69.9933,41.6875,M,M,M,150.00,3.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQX 030010Z AUTO 15003KT 10SM CLR A3026 RMK VRB03KT  MADISHF
BED,2017-11-03 00:10,-71.2890,42.4699,M,M,M,180.00,8.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030010Z AUTO 18008KT 10SM CLR A3019 RMK MADISHF
FIT,2017-11-03 00:10,-71.7558,42.5519,M,M,M,170.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFIT 030010Z AUTO 17003KT 10SM CLR A3020 RMK MADISHF
BOS,2017-11-03 00:10,-71.0097,42.3606,M,M,M,180.00,8.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030010Z AUTO 18008KT 10SM CLR A3021 RMK MADISHF
PVC,2017-11-03 00:15,-70.2200,42.0700,M,M,M,180.00,10.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030015Z AUTO 18010KT 10SM CLR A3024 RMK MADISHF
PYM,2017-11-03 00:15,-70.7288,41.9090,M,M,M,180.00,5.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030015Z AUTO 18005KT 10SM CLR A3024 RMK MADISHF
FIT,2017-11-03 00:15,-71.7558,42.5519,M,M,M,160.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFIT 030015Z AUTO 16003KT 10SM CLR A3020 RMK MADISHF
EWB,2017-11-03 00:15,-70.9583,41.6764,M,M,M,200.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030015Z AUTO 20004KT 10SM CLR A3023 RMK MADISHF
ORH,2017-11-03 00:15,-71.8757,42.2673,M,M,M,190.00,10.00,M,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030015Z AUTO 19010KT 10SM CLR A3022 RMK MADISHF
HYA,2017-11-03 00:15,-70.2800,41.6700,M,M,M,200.00,3.00,M,30.24,M,6.00,M,CLR,M,M,M,M,M,M,M,BR,KHYA 030015Z AUTO 20003KT 6SM BR CLR A3024 RMK MADISHF
ORE,2017-11-03 00:15,-72.2886,42.5701,M,M,M,0.00,0.00,M,30.19,M,10.00,M,SCT,BKN,M,M,2500.00,3900.00,M,M,M,KORE 030015Z AUTO 00000KT 10SM SCT025 BKN039 A3019 RMK MADISHF
TAN,2017-11-03 00:15,-71.0211,41.8756,M,M,M,160.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030015Z AUTO 16004KT 10SM CLR A3023 RMK MADISHF
OWD,2017-11-03 00:15,-71.1733,42.1912,M,M,M,170.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOWD 030015Z AUTO 17004KT 10SM CLR A3021 RMK MADISHF
BOS,2017-11-03 00:15,-71.0097,42.3606,M,M,M,190.00,9.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030015Z AUTO 19009KT 10SM CLR A3021 RMK MADISHF
BED,2017-11-03 00:15,-71.2890,42.4699,M,M,M,190.00,9.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030015Z AUTO 19009KT 10SM CLR A3019 RMK MADISHF
GHG,2017-11-03 00:15,-70.6721,42.0982,62.60,62.60,100.00,M,5.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGHG 030015Z AUTO VRB05KT 10SM CLR 17/17 A3023 RMK AO2
FMH,2017-11-03 00:15,-70.5215,41.6585,59.00,59.00,100.00,160.00,6.00,0.00,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KFMH 030015Z 16006KT 9SM SKC 15/15 A3025 RMK AO2
FIT,2017-11-03 00:20,-71.7558,42.5519,M,M,M,170.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFIT 030020Z AUTO 17004KT 10SM CLR A3020 RMK MADISHF
BED,2017-11-03 00:20,-71.2890,42.4699,M,M,M,180.00,8.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030020Z AUTO 18008KT 10SM CLR A3019 RMK MADISHF
ORH,2017-11-03 00:20,-71.8757,42.2673,M,M,M,190.00,10.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030020Z AUTO 19010KT 10SM CLR A3021 RMK MADISHF
EWB,2017-11-03 00:20,-70.9583,41.6764,M,M,M,190.00,5.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030020Z AUTO 19005KT 10SM CLR A3023 RMK MADISHF
PVC,2017-11-03 00:20,-70.2200,42.0700,M,M,M,180.00,9.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030020Z AUTO 18009KT 10SM CLR A3024 RMK MADISHF
HYA,2017-11-03 00:20,-70.2800,41.6700,M,M,M,190.00,3.00,M,30.24,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHYA 030020Z AUTO 19003KT 7SM CLR A3024 RMK MADISHF
PYM,2017-11-03 00:20,-70.7288,41.9090,M,M,M,200.00,4.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030020Z AUTO 20004KT 10SM CLR A3024 RMK MADISHF
BOS,2017-11-03 00:20,-71.0097,42.3606,M,M,M,190.00,9.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030020Z AUTO 19009KT 10SM CLR A3021 RMK MADISHF
ORE,2017-11-03 00:20,-72.2886,42.5701,M,M,M,0.00,0.00,M,30.19,M,10.00,M,SCT,SCT,M,M,2500.00,3900.00,M,M,M,KORE 030020Z AUTO 00000KT 10SM SCT025 SCT039 A3019 RMK MADISHF
OWD,2017-11-03 00:20,-71.1733,42.1912,M,M,M,170.00,5.00,M,30.21,M,10.00,M,FEW,M,M,M,900.00,M,M,M,M,KOWD 030020Z AUTO 17005KT 10SM FEW009 A3021 RMK MADISHF
CQX,2017-11-03 00:20,-69.9933,41.6875,59.00,57.90,96.13,M,4.00,0.00,30.27,M,10.00,M,FEW,M,M,M,400.00,M,M,M,M,KCQX 030020Z AUTO VRB04KT 10SM FEW004 15/14 A3027 RMK AO2 T01500144
OWD,2017-11-03 00:24,-71.1733,42.1912,63.00,61.00,93.18,160.00,4.00,0.00,30.21,M,10.00,M,FEW,M,M,M,900.00,M,M,M,M,KOWD 030024Z AUTO 16004KT 10SM FEW009 17/16 A3021 RMK AO2 T01720161
PVC,2017-11-03 00:25,-70.2200,42.0700,M,M,M,180.00,9.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030025Z AUTO 18009KT 10SM CLR A3024 RMK MADISHF
ORE,2017-11-03 00:25,-72.2886,42.5701,M,M,M,0.00,0.00,M,30.18,M,10.00,M,SCT,SCT,M,M,2500.00,3900.00,M,M,M,KORE 030025Z AUTO 00000KT 10SM SCT025 SCT039 A3018 RMK MADISHF
ORH,2017-11-03 00:25,-71.8757,42.2673,M,M,M,190.00,11.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030025Z AUTO 19011KT 10SM CLR A3021 RMK MADISHF
HYA,2017-11-03 00:25,-70.2800,41.6700,M,M,M,0.00,0.00,M,30.24,M,6.00,M,CLR,M,M,M,M,M,M,M,BR,KHYA 030025Z AUTO 00000KT 6SM BR CLR A3024 RMK MADISHF
BOS,2017-11-03 00:25,-71.0097,42.3606,M,M,M,190.00,8.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030025Z AUTO 19008KT 10SM CLR A3021 RMK MADISHF
PYM,2017-11-03 00:25,-70.7288,41.9090,M,M,M,180.00,3.00,M,30.23,M,10.00,M,FEW,M,M,M,400.00,M,M,M,M,KPYM 030025Z AUTO 18003KT 10SM FEW004 A3023 RMK MADISHF
OWD,2017-11-03 00:25,-71.1733,42.1912,M,M,M,160.00,4.00,M,30.21,M,10.00,M,SCT,M,M,M,900.00,M,M,M,M,KOWD 030025Z AUTO 16004KT 10SM SCT009 A3021 RMK MADISHF
EWB,2017-11-03 00:25,-70.9583,41.6764,M,M,M,180.00,4.00,M,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030025Z AUTO 18004KT 10SM CLR A3022 RMK MADISHF
TAN,2017-11-03 00:25,-71.0211,41.8756,M,M,M,170.00,3.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030025Z AUTO 17003KT 10SM CLR A3023 RMK MADISHF
CQX,2017-11-03 00:25,-69.9933,41.6875,M,M,M,0.00,0.00,M,30.27,M,10.00,M,FEW,M,M,M,300.00,M,M,M,M,KCQX 030025Z AUTO 00000KT 10SM FEW003 A3027 RMK MADISHF
BED,2017-11-03 00:25,-71.2890,42.4699,M,M,M,180.00,7.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030025Z AUTO 18007KT 10SM CLR A3018 RMK MADISHF
PVC,2017-11-03 00:30,-70.2200,42.0700,M,M,M,170.00,10.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030030Z AUTO 17010KT 10SM CLR A3024 RMK MADISHF
TAN,2017-11-03 00:30,-71.0211,41.8756,M,M,M,170.00,3.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030030Z AUTO 17003KT 10SM CLR A3023 RMK MADISHF
BOS,2017-11-03 00:30,-71.0097,42.3606,M,M,M,180.00,7.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030030Z AUTO 18007KT 10SM CLR A3021 RMK MADISHF
BED,2017-11-03 00:30,-71.2890,42.4699,M,M,M,180.00,9.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030030Z AUTO 18009KT 10SM CLR A3018 RMK MADISHF
PYM,2017-11-03 00:30,-70.7288,41.9090,M,M,M,180.00,3.00,M,30.23,M,10.00,M,FEW,M,M,M,400.00,M,M,M,M,KPYM 030030Z AUTO 18003KT 10SM FEW004 A3023 RMK VRB03KT  MADISHF
ORE,2017-11-03 00:30,-72.2886,42.5701,M,M,M,0.00,0.00,M,30.18,M,10.00,M,FEW,BKN,M,M,2500.00,3900.00,M,M,M,KORE 030030Z AUTO 00000KT 10SM FEW025 BKN039 A3018 RMK MADISHF
OWD,2017-11-03 00:30,-71.1733,42.1912,M,M,M,160.00,4.00,M,30.21,M,10.00,M,SCT,M,M,M,900.00,M,M,M,M,KOWD 030030Z AUTO 16004KT 10SM SCT009 A3021 RMK MADISHF
CQX,2017-11-03 00:30,-69.9933,41.6875,M,M,M,170.00,3.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCQX 030030Z AUTO 17003KT 10SM CLR A3027 RMK MADISHF
HYA,2017-11-03 00:30,-70.2800,41.6700,M,M,M,0.00,0.00,M,30.24,M,6.00,M,CLR,M,M,M,M,M,M,M,BR,KHYA 030030Z AUTO 00000KT 6SM BR CLR A3024 RMK MADISHF
EWB,2017-11-03 00:30,-70.9583,41.6764,M,M,M,180.00,5.00,M,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030030Z AUTO 18005KT 10SM CLR A3022 RMK MADISHF
ORH,2017-11-03 00:30,-71.8757,42.2673,M,M,M,190.00,10.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030030Z AUTO 19010KT 10SM CLR A3021 RMK MADISHF
FIT,2017-11-03 00:30,-71.7558,42.5519,M,M,M,160.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFIT 030030Z AUTO 16004KT 10SM CLR A3020 RMK MADISHF
OWD,2017-11-03 00:35,-71.1733,42.1912,M,M,M,150.00,4.00,M,30.21,M,10.00,M,SCT,M,M,M,800.00,M,M,M,M,KOWD 030035Z AUTO 15004KT 10SM SCT008 A3021 RMK MADISHF
ORE,2017-11-03 00:35,-72.2886,42.5701,M,M,M,180.00,5.00,M,30.18,M,10.00,M,FEW,SCT,M,M,2500.00,3900.00,M,M,M,KORE 030035Z AUTO 18005KT 10SM FEW025 SCT039 A3018 RMK MADISHF
PVC,2017-11-03 00:35,-70.2200,42.0700,M,M,M,170.00,12.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030035Z AUTO 17012KT 10SM CLR A3024 RMK MADISHF
EWB,2017-11-03 00:35,-70.9583,41.6764,M,M,M,190.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030035Z AUTO 19004KT 10SM CLR A3023 RMK MADISHF
TAN,2017-11-03 00:35,-71.0211,41.8756,M,M,M,180.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030035Z AUTO 18004KT 10SM CLR A3023 RMK MADISHF
FIT,2017-11-03 00:35,-71.7558,42.5519,M,M,M,150.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFIT 030035Z AUTO 15004KT 10SM CLR A3020 RMK MADISHF
BED,2017-11-03 00:35,-71.2890,42.4699,M,M,M,180.00,8.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030035Z AUTO 18008KT 10SM CLR A3018 RMK MADISHF
ORH,2017-11-03 00:35,-71.8757,42.2673,M,M,M,200.00,10.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030035Z AUTO 20010KT 10SM CLR A3021 RMK MADISHF
HYA,2017-11-03 00:35,-70.2800,41.6700,M,M,M,0.00,0.00,M,30.24,M,6.00,M,FEW,M,M,M,3500.00,M,M,M,BR,KHYA 030035Z AUTO 00000KT 6SM BR FEW035 A3024 RMK MADISHF
BOS,2017-11-03 00:35,-71.0097,42.3606,M,M,M,190.00,7.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030035Z AUTO 19007KT 10SM CLR A3021 RMK MADISHF
PYM,2017-11-03 00:35,-70.7288,41.9090,M,M,M,180.00,3.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030035Z AUTO 18003KT 10SM CLR A3023 RMK MADISHF
CQX,2017-11-03 00:35,-69.9933,41.6875,M,M,M,170.00,4.00,M,30.26,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KCQX 030035Z AUTO 17004KT 9SM CLR A3026 RMK VRB04KT  MADISHF
FMH,2017-11-03 00:35,-70.5215,41.6585,59.00,59.00,100.00,160.00,7.00,0.00,30.25,M,8.00,M,CLR,M,M,M,M,M,M,M,M,KFMH 030035Z 16007KT 8SM SKC 15/15 A3025 RMK AO2
GHG,2017-11-03 00:35,-70.6721,42.0982,62.60,62.60,100.00,190.00,5.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGHG 030035Z AUTO 19005KT 10SM CLR 17/17 A3022 RMK AO2
TAN,2017-11-03 00:40,-71.0211,41.8756,M,M,M,180.00,3.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030040Z AUTO 18003KT 10SM CLR A3023 RMK MADISHF
FIT,2017-11-03 00:40,-71.7558,42.5519,M,M,M,160.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFIT 030040Z AUTO 16003KT 10SM CLR A3020 RMK VRB03KT  MADISHF
PVC,2017-11-03 00:40,-70.2200,42.0700,M,M,M,170.00,9.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030040Z AUTO 17009KT 10SM CLR A3023 RMK MADISHF
EWB,2017-11-03 00:40,-70.9583,41.6764,M,M,M,220.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030040Z AUTO 22004KT 10SM CLR A3023 RMK MADISHF
BED,2017-11-03 00:40,-71.2890,42.4699,M,M,M,180.00,7.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030040Z AUTO 18007KT 10SM CLR A3018 RMK MADISHF
BOS,2017-11-03 00:40,-71.0097,42.3606,M,M,M,180.00,6.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030040Z AUTO 18006KT 10SM CLR A3021 RMK MADISHF
ORH,2017-11-03 00:40,-71.8757,42.2673,M,M,M,200.00,10.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030040Z AUTO 20010KT 10SM CLR A3021 RMK MADISHF
CQX,2017-11-03 00:40,-69.9933,41.6875,M,M,M,0.00,0.00,M,30.26,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KCQX 030040Z AUTO 00000KT 9SM CLR A3026 RMK MADISHF
HYA,2017-11-03 00:40,-70.2800,41.6700,M,M,M,0.00,0.00,M,30.24,M,6.00,M,SCT,M,M,M,3500.00,M,M,M,BR,KHYA 030040Z AUTO 00000KT 6SM BR SCT035 A3024 RMK MADISHF
OWD,2017-11-03 00:40,-71.1733,42.1912,M,M,M,170.00,4.00,M,30.21,M,10.00,M,BKN,M,M,M,800.00,M,M,M,M,KOWD 030040Z AUTO 17004KT 10SM BKN008 A3021 RMK MADISHF
ORE,2017-11-03 00:40,-72.2886,42.5701,M,M,M,190.00,5.00,M,30.18,M,10.00,M,FEW,M,M,M,3900.00,M,M,M,M,KORE 030040Z AUTO 19005KT 10SM FEW039 A3018 RMK MADISHF
PYM,2017-11-03 00:40,-70.7288,41.9090,M,M,M,180.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030040Z AUTO 18004KT 10SM CLR A3023 RMK VRB04KT  MADISHF
OWD,2017-11-03 00:44,-71.1733,42.1912,64.00,61.00,89.97,160.00,5.00,0.00,30.20,M,10.00,M,BKN,M,M,M,800.00,M,M,M,M,KOWD 030044Z AUTO 16005KT 10SM BKN008 18/16 A3020 RMK AO2 T01780161
ORE,2017-11-03 00:45,-72.2886,42.5701,M,M,M,170.00,6.00,M,30.18,M,10.00,M,FEW,M,M,M,3900.00,M,M,M,M,KORE 030045Z AUTO 17006KT 10SM FEW039 A3018 RMK MADISHF
ORH,2017-11-03 00:45,-71.8757,42.2673,M,M,M,200.00,10.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KORH 030045Z AUTO 20010KT 10SM CLR A3021 RMK MADISHF
PYM,2017-11-03 00:45,-70.7288,41.9090,M,M,M,180.00,3.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPYM 030045Z AUTO 18003KT 10SM CLR A3023 RMK MADISHF
HYA,2017-11-03 00:45,-70.2800,41.6700,M,M,M,180.00,3.00,M,30.24,M,7.00,M,SCT,M,M,M,3500.00,M,M,M,M,KHYA 030045Z AUTO 18003KT 7SM SCT035 A3024 RMK MADISHF
EWB,2017-11-03 00:45,-70.9583,41.6764,M,M,M,220.00,4.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KEWB 030045Z AUTO 22004KT 10SM CLR A3023 RMK MADISHF
PVC,2017-11-03 00:45,-70.2200,42.0700,M,M,M,170.00,9.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KPVC 030045Z AUTO 17009KT 10SM CLR A3023 RMK MADISHF
CQX,2017-11-03 00:45,-69.9933,41.6875,M,M,M,180.00,3.00,M,30.26,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KCQX 030045Z AUTO 18003KT 9SM CLR A3026 RMK VRB03KT  MADISHF
OWD,2017-11-03 00:45,-71.1733,42.1912,M,M,M,150.00,5.00,M,30.20,M,10.00,M,BKN,M,M,M,800.00,M,M,M,M,KOWD 030045Z AUTO 15005KT 10SM BKN008 A3020 RMK VRB05KT  MADISHF
BOS,2017-11-03 00:45,-71.0097,42.3606,M,M,M,180.00,6.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOS 030045Z AUTO 18006KT 10SM CLR A3020 RMK MADISHF
TAN,2017-11-03 00:45,-71.0211,41.8756,M,M,M,170.00,3.00,M,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KTAN 030045Z AUTO 17003KT 10SM CLR A3022 RMK MADISHF
BED,2017-11-03 00:45,-71.2890,42.4699,M,M,M,190.00,6.00,M,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBED 030045Z AUTO 19006KT 10SM CLR A3018 RMK MADISHF
OWD,2017-11-03 00:50,-71.1733,42.1912,M,M,M,170.00,4.00,M,30.21,M,10.00,M,BKN,M,M,M,800.00,M,M,M,M,KOWD 030050Z AUTO 17004KT 10SM BKN008 A3021 RMK CIG 7V11  MADISHF
